Year,Galena,Tanana,Fort Yukon,Eagle
2000,788,"2,895","1,060","1,087"
2001,"1,755","4,112","2,361","1,033"
2002,"1,522","2,379","2,415","1,910"
2003,"3,112","5,332","4,082","2,081"
2004,"3,296","2,689","4,512","1,512"
2005,"2,864","3,729","3,722","2,566"
2006,"2,380","3,794","3,318","2,303"
2007,"2,511","5,498","4,189","1,999"
2008,"2,232","3,981","2,023","1,068"
2009,"1,370","2,950",861,446
2010,"1,357","3,215","1,756",867
2011,"1,434","2,936","2,521",728
2012,742,"2,100","2,141",167
2013,275,"1,200","1,561",175
2014,1,88,93,76
2015,372,141,480,395
2016,993,"2,129","1,225",864
2017,"2,224","2,961","4,224","1,730"
2018,"1,262","5,108","4,704","1,011"
2019,"2,895","3,408","4,563",788